Name,Count
:thinking_face:,725
:eyes:,121
:flushed_face:,114
:pensive_face:,62
:hot_face:,60
:pleading_face:,57
:sweat_droplets:,48
:smiling_face_with_tear:,45
:smiling_face_with_sunglasses:,42
:smiling_face_with_heart-eyes:,40
:face_with_tears_of_joy:,19
:neutral_face:,15
:face_savoring_food:,14
:face_vomiting:,14
:backhand_index_pointing_left:,13
:love-you_gesture:,13
:clapping_hands:,11
:D:,10
:relieved_face:,9
:drooling_face:,8
:fire:,8
:,8
:clown_face:,7
:rolling_on_the_floor_laughing:,7
:backhand_index_pointing_right:,7
:mouse:,6
:red_heart:,6
:hollow_red_circle:,6
:slightly_smiling_face:,6
:skull:,6
:loudly_crying_face:,6
:shark:,6
:water_pistol:,5
:star:,5
:swan:,4
:hand_with_fingers_splayed:,4
:face_blowing_a_kiss:,4
:revolving_hearts:,4
:bread:,4
:winking_face_with_tongue:,4
:upside-down_face:,4
:cross_mark:,4
:brain:,4
:lying_face:,3
:eggplant:,3
:cigarette:,3
:octopus:,3
:star-struck:,3
:grinning_face:,3
:smiling_face_with_hearts:,3
:sleeping_face:,3
:thonk:,3
:cat_face:,3
:blue_square:,2
:baguette_bread:,2
:women_holding_hands:,2
:woman_running:,2
:camping:,2
:carrot:,2
:grinning_face_with_big_eyes:,2
:yawning_face:,2
:OK_hand_medium-light_skin_tone:,2
:teacup_without_handle:,2
:spider:,2
:peanuts:,2
:thumbs_up:,2
:dog_face:,2
:dango:,2
:tropical_drink:,2
:cross_mark_button:,2
:face_with_raised_eyebrow:,2
:pouting_face:,2
:confused_face:,2
:right-facing_fist:,2
:clapping_hands_medium_skin_tone:,2
:sandwich:,1
:sauropod:,1
:rat:,1
:rabbit_face:,1
:robot:,1
:studio_microphone:,1
:slightly_frowning_face:,1
:teacher_medium_skin_tone:,1
:yubi:,1
:woman_dancing:,1
:two_hearts:,1
:turtle:,1
:transgender_symbol:,1
:tooth:,1
:stuffed_flatbread:,1
:snail:,1
:squinting_face_with_tongue:,1
:spiral_shell:,1
:spaghetti:,1
:soft_ice_cream:,1
:snowflake:,1
:snake:,1
:rabbit:,1
:left_arrow_curving_right:,1
:potted_plant:,1
:fearful_face:,1
:face_with_thermometer:,1
:face_with_symbols_on_mouth:,1
:face_with_medical_mask:,1
:face_screaming_in_fear:,1
:eye:‍:left_speech_bubble:,1
:eye:,1
:ear_of_corn:,1
:ear:,1
:duck:,1
:drop_of_blood:,1
:dragon_face:,1
:custard:,1
:curry_rice:,1
:crying_face:,1
:credit_card:,1
:crab:,1
:clapping_hands_medium-dark_skin_tone:,1
:chestnut:,1
:camera:,1
:cactus:,1
:baby_angel:,1
:angry_face:,1
:alien:,1
:fairy:,1
:fish_cake_with_swirl:,1
:pizza:,1
:fork_and_knife:,1
:pineapple:,1
:pile_of_poo:,1
:person_in_bed:,1
:pencil:,1
:new_moon_face:,1
:musical_note:,1
:motorcycle:,1
:middle_finger:,1
:memo:,1
:man_climbing:,1
:left-facing_fist:,1
:ladder:,1
:ice_skate:,1
:ice_cream:,1
:ice:,1
:honey_pot:,1
:herb:,1
:handshake:,1
:hammer:,1
:grimacing_face:,1
:green_square:,1
:globe_showing_Europe-Africa:,1
:game_die:,1
:zipper-mouth_face:,1
